track_name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode
Vaanamunna,0.7555964096463719,0.04392513253272748,0.5635836092420522,0.34850197851893727,0.35725473348060094,0.00020335429769392034,0.75,0.5083870967741935,1.0,0.6684199796126402,0.898229619421181,0.0
Kaattrae En Vaasal (Wind) - Revival,0.37817670595868924,0.1755923401493022,0.23730523217867028,0.016817410966647822,0.2779687219856093,0.0006666666666666666,0.75,0.6167741935483873,0.9090909090909092,0.5072375127420999,0.442383123078554,0.0
June Ponal,0.4582026603222667,0.15611814345991565,0.3977832366169438,0.03420011305822499,0.04042783154661425,0.0,0.75,0.6993548387096775,1.0,0.6574515800203873,0.6618255062016326,0.0
Vaaya Veera,0.643127500811074,0.09769555339175594,0.6165224821104348,0.03759185980780102,0.7420561759362938,0.0,0.75,0.49032258064516127,0.4545454545454546,0.812966360856269,0.49220820523693415,1.0
Enna Solla - The New Life of Tamizh,0.4863198875310912,0.09985935302391001,0.3791638482442713,0.030949689089881292,0.6511415494220367,0.00014360587002096436,0.75,0.5458064516129033,0.4545454545454546,0.6741692150866463,0.6607653980706033,1.0
Un Mele Oru Kannu,0.6853033416243106,0.08785026506545496,0.45120272467276634,0.01568682871678915,0.5010267009915191,0.0,0.75,0.76,0.18181818181818182,0.8639755351681957,0.5505141524435493,0.0
Ei Suzhali,0.23110197902022278,0.3335497132965488,0.7955486726713897,0.5647258338044093,0.8255707747110184,0.00010587002096436059,0.75,0.7729032258064517,0.0,0.67710499490316,0.826142266511184,0.0
Azhage,0.7837136368551963,0.07508384723574599,0.48734380006408207,0.015262860373092144,0.32554032888260426,0.0,0.0,0.6696774193548387,0.6363636363636364,0.780224260958206,0.5324923142160501,0.0
Neeyae,0.44522547853357847,0.09228605431137078,0.615442581318903,0.019078575466365183,0.5982842084253756,0.0,0.75,0.32,1.0,0.7450356778797146,0.21127955051415243,1.0
Pudhu Kadhal,0.7437006596734076,0.05625879043600564,0.2908018560053165,0.051017524024872814,0.12045384581555917,4.842767295597484e-05,0.75,0.8090322580645162,0.09090909090909091,0.6654434250764526,0.909890808862504,1.0
"Oru Murai Iru Murai (From ""Kalavaani"")",0.5165999783713637,0.22211403224061455,0.20173377478728333,0.0936970039570379,0.2462543173876126,0.0,0.75,0.703225806451613,0.0,0.6314780835881753,0.6554648574154565,0.0
Marudaani,0.643127500811074,0.12257924916152767,0.7950561904422847,0.016534765404183152,0.13313960765475782,0.000249475890985325,0.75,0.48258064516129034,0.4545454545454546,0.7392864424057084,0.5844376126364889,1.0
Kaala Kaala,0.5620201146317725,0.12257924916152767,0.40351501774122733,0.00862068965517241,0.04962500888003329,0.022746331236897278,0.75,0.7212903225806453,0.4545454545454546,0.7819775739041794,0.31304993109297147,0.0
Ni Sa Gari Sa,0.32410511517248836,0.08882397489992429,0.4389974723201253,0.016110797060486147,0.5295696651297161,0.0,0.0,0.7225806451612904,0.5454545454545454,0.7454026503567788,0.6173009646983992,0.0
Vallava Ennai,0.7555964096463719,0.079086876555231,0.5655238705543096,0.014414923685698133,0.0858851448037428,0.011215932914046121,0.75,0.5832258064516129,0.4545454545454546,0.7067074413863405,0.6809074525601612,0.0
Kalayil Dinavum,0.3803395695901373,0.08070972627934654,0.2603925617382843,0.01596947427925382,0.7209132395376294,0.0,0.75,0.512258064516129,0.36363636363636365,0.6279714576962283,0.5462737199194319,0.0
"Mayilrage (From ""Ah…Aah"")",0.6366389099167298,0.1139240506329114,0.4513035945269205,0.022894290559638215,0.49045523279218695,5.7547169811320756e-05,0.75,0.6890322580645163,0.7272727272727273,0.7327217125382263,0.7317926428495707,0.0
Thee Thee,0.20622904725857033,0.08698474521259333,0.5168571326853929,0.046353872244205764,0.36994049531979956,0.22955974842767296,0.75,0.7793548387096776,0.18181818181818182,0.25520897043832824,0.7784374006148628,1.0
Vilambara Idaiveli,0.8139937276954687,0.0793032565184464,0.3683292392039589,0.014697569248162796,0.11622525853582628,0.0,0.75,0.558709677419355,0.8181818181818182,0.8819979612640163,0.5483939361814906,1.0
Kadhalikathey,0.9935114091056558,0.1236611489776047,0.5867777421766528,0.21424533634821932,0.3170831543231385,0.0,0.75,0.687741935483871,0.2727272727272727,0.9408358817533129,0.9310929714830913,0.0
Adi Raangi (Re-Orchestrated),0.32302368335676435,0.19831223628691985,0.2307486916586564,0.01568682871678915,0.6913131285794992,0.0,0.75,0.4451612903225807,0.18181818181818182,0.47506625891946996,0.16781511714194847,0.0
Raati - Madras Gig,0.6690818643884504,0.17775613978145627,0.5906404642386701,0.045081967213114756,0.2187685000693488,2.4004192872117402e-05,0.5,0.5741935483870968,0.36363636363636365,0.7337003058103975,0.8102406445457437,1.0
Pappara Pappaa,0.9005082729533903,0.033863464243211086,0.32664032183417,0.1817410966647824,0.2187685000693488,6.40461215932914e-05,0.5,0.4438709677419355,0.36363636363636365,0.7807135575942915,0.6130605321742818,0.0
"Morrakka Mattrakkaa - From ""Lakshmi""",0.6658375689412783,0.052688521042951436,0.3677240200790345,0.05370265686828717,0.19656841685075116,0.002127882599580713,0.75,0.8606451612903225,0.0,0.6134148827726809,0.7307325347185413,0.0
Vaayadi Petha Pulla,0.76316643235644,0.10202315265606407,0.2608316422798961,0.21141888072357265,0.4608551218340567,0.002610062893081761,0.75,0.6593548387096775,0.4545454545454546,0.716289500509684,0.886568429979858,0.0
Kalyana Vayasu,0.6755704552827944,0.1442172454830683,0.3680681642873249,0.28208027133973995,0.3879119912586644,8.144654088050315e-05,0.75,0.7754838709677421,0.5454545454545454,0.8206320081549439,0.6946888582635429,1.0
Gun In Kadhal,0.87887963663891,0.06123552958995998,0.5159433704771739,0.05568117580553985,0.04793357396814013,0.0002578616352201258,0.75,0.6025806451612905,0.6363636363636364,0.7182874617737003,0.14131241386621435,0.0
Orey Oru - Kolamavu Kokila,0.32410511517248836,0.07768040679433086,0.21114433882777367,0.05539853024307519,0.9344568971641403,1.0901467505241092e-06,0.75,0.3238709677419355,0.4545454545454546,0.7435270132517839,0.529311989822962,1.0
