track_name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode
Perfect,0.45475268773039523,0.08741295083671137,0.26921941373181085,0.0,0.1644492953926039,0.0,0.5,0.5234375,0.7272727272727273,0.8303290054203959,0.14310014884116523,1.0
Believer,0.7956606117859673,0.06142812597443095,0.4493718555117043,0.21309475396502647,0.06273007917952957,0.0,0.75,0.75390625,0.9090909090909092,0.8914030001260559,0.6725494365298745,0.0
Girls Like You (feat. Cardi B) - Cardi B Version,0.5502479797098175,0.11235838270450059,0.4494321091796463,0.055510370069133806,0.5731425748201344,0.0,0.75,0.8515624999999998,0.0,0.8141623597630153,0.440782479268552,1.0
Closer,0.5327918510684178,0.09260991580916747,0.2689783990600428,0.021553477023180147,0.41773821671682654,0.0,0.75,0.7174479166666665,0.7272727272727273,0.8527984369091139,0.6672336806293855,1.0
Faded,0.6385554540133693,0.09157052281467624,0.7789172415870815,0.04961366409109395,0.028319114170939946,8.208032955715757e-06,0.75,0.3528645833333333,0.5454545454545454,0.8689965964956512,0.13353178822028494,1.0
Memories,0.32331830737162043,0.0626753975678204,0.24493116018437627,0.06384709231394878,0.8445956418966919,0.0,0.75,0.73828125,1.0,0.8020610109668475,0.5758026791409738,1.0
Just the Way You Are,0.8582973086756959,0.041887537677996065,0.3533998132136294,0.03863359089060594,0.01348506180653328,0.0,0.75,0.5703125,0.4545454545454546,0.8597315013235851,0.4152668509462046,1.0
Something Just Like This,0.6467701027857927,0.14769774451720197,0.3172355617148194,0.01728344855632371,0.05021700099458788,1.4830072090628218e-05,0.75,0.546875,1.0,0.8159271397957899,0.4386561769083564,0.0
Let Me Love You,0.7299434216065799,0.11755534767695668,0.29897267496158825,0.02379015860105734,0.08704985210348881,2.7085478887744593e-05,0.75,0.5885416666666665,0.7272727272727273,0.8599836127568387,0.13778439294067618,1.0
Shape of You,0.6642262314271925,0.07400478120777468,0.27480492875003765,0.11590077267181781,0.586261124530154,0.0,0.75,0.817708333333333,0.09090909090909091,0.9289360897516704,0.9542844992557942,0.0
Despacito,0.8131167404273671,0.046876624051553906,0.7685897629018166,0.26392842618950796,0.19976846768881024,0.0,0.75,0.5963541666666667,0.18181818181818182,0.878387747384344,0.8564745906867957,1.0
Wolves,0.8203045581032375,0.18927346429685063,0.449600819449884,0.04392029280195201,0.12509364626254538,0.0,0.75,0.6861979166666665,1.0,0.8838396571284509,0.289815011694663,0.0
Rockabye (feat. Sean Paul & Anne-Marie),0.7443190569583209,0.39091570522814684,0.31110776368511434,0.06832045546970314,0.38645552125447236,0.0,0.75,0.6770833333333333,0.8181818181818182,0.8802155552754318,0.8065064852221986,0.0
Happier,0.8079825849446024,0.15081592350067563,0.29913535986503176,0.04473363155754371,0.19270463322956896,0.0,0.75,0.6380208333333333,0.4545454545454546,0.9426131350056727,0.6778651924303636,1.0
Stitches,0.7689630032755912,0.027751792952915497,0.5996023257915826,0.09028060187067913,0.01530147638176675,0.0,0.75,0.71484375,0.09090909090909091,0.8186058237741083,0.7576015309376993,1.0
On My Way,0.7022189819996508,0.2900945847624987,0.7213448618684661,0.16022773485156566,0.021053455870006066,0.0,0.75,0.40624999999999994,0.09090909090909091,0.8739127694440945,0.2802466510737827,0.0
FRIENDS,0.8983437214412601,0.11027959671551817,0.2693941493688428,0.05530703538023587,0.20683230214805148,0.0,0.75,0.55859375,0.8181818181818182,0.9541157191478635,0.5322134807569636,0.0
Alone,0.9332559787240596,0.17056439039600874,0.28109541168318625,0.05368035786905246,0.23105116315116445,0.0004922760041194645,0.75,0.6197916666666667,0.9090909090909092,0.904386738938611,0.15904741654263238,1.0
Love Yourself,0.38287451097169023,0.2682673318781832,0.30156358268309585,0.843432289548597,0.8425774034797658,0.0,0.75,0.5364583333333333,0.36363636363636365,0.7195260305054836,0.5120136083351052,1.0
Stiches,0.3407744360130202,0.1435401725392371,0.5398547886602598,0.32492883285888574,0.39251023650525063,0.0,0.75,0.58203125,0.09090909090909091,0.6844825412832474,0.183499893684882,1.0
That's What I Like,0.5697577705443232,0.07535599210061325,0.5043051245744585,0.03538023586823912,0.013081414123148064,0.0,0.75,0.8541666666666665,0.09090909090909091,0.8729043237110804,0.8788007654688497,1.0
A Year Without Rain,0.8264655446825552,0.09260991580916747,0.4194318079113066,0.04046360309068727,0.012576854518916545,3.1822863027806386e-05,0.75,0.5598958333333333,0.18181818181818182,0.8623471574435901,0.39931958324473743,0.0
Story of My Life,0.6755213734892748,0.10092505976509719,0.4259994577169885,0.04981699877999187,0.22701468631731228,0.0,0.75,0.5247395833333333,0.2727272727272727,0.8464011092903064,0.2685519880927068,1.0
What Makes You Beautiful,0.8028484294618378,0.03918511589231889,0.44961889555026663,0.10268401789345263,0.009044937289295908,0.0,0.75,0.6888020833333333,0.36363636363636365,0.9506491869406279,0.9085689985115883,1.0
Steal My Girl,0.7833386386273321,0.09572809479264112,0.16176904769077816,0.023383489223261493,0.004332350585773517,0.0,0.75,0.44140624999999994,0.9090909090909092,0.8418000756334301,0.5439081437380395,0.0
Drag Me Down,0.7165946173513917,0.04552541315871532,0.5286897839906004,0.02785685237901587,0.10995685813559979,0.0,0.75,0.6940104166666665,0.0,0.8504979200806758,0.59706570274293,0.0
History,0.7124872929651801,0.04375844506808026,0.21893170246738763,0.05307035380235867,0.03548386055102752,0.0,0.75,0.5963541666666667,1.0,0.8899218454556915,0.8171379970231767,1.0
Night Changes,0.528684526682206,0.09676748778713233,0.41955834061398484,0.02460349735664904,0.8667962644828787,0.0,0.75,0.6184895833333333,0.7272727272727273,0.7851065170805497,0.35785668722092284,1.0
Best Song Ever,0.8952632281516013,0.059245400685999386,0.41046003675473747,0.04737698251321675,0.02286987044523954,0.0,0.75,0.5924479166666667,0.09090909090909091,0.9351443337955377,0.4811822241122688,1.0
Midnight Memories,0.8860217482826249,0.21941586113709596,0.6372367667881782,0.1321675477836519,0.007278978674485591,0.0,0.75,0.3059895833333333,0.5454545454545454,0.9659019286524646,0.5672974697001913,0.0
Live While We're Young,0.8541899842894841,0.0779544745868413,0.4557948965143253,0.06323708824725499,0.0634364626254537,0.0,0.75,0.6002604166666667,0.18181818181818182,0.9642316904071601,0.9596002551562833,1.0
Infinity,0.7186482795444976,0.06475418355680283,0.4916458289398367,0.021350142334282236,0.06928935403453933,0.0,0.75,0.4427083333333333,0.36363636363636365,0.8378608344888442,0.30469912821603234,1.0
One Thing,0.7319970837996858,0.06433842635900636,0.46172385743982164,0.009353395689304593,0.0023141121688474405,0.0,0.75,0.6718749999999998,0.18181818181818182,0.9093029118870543,0.6619179247288964,1.0
Treat You Better,0.8357070245515315,0.0884523438312026,0.19477600698942543,0.6461976413176088,0.10692950051021066,0.0,0.75,0.3216145833333333,0.9090909090909092,0.9007311231564352,0.7586646821177971,0.0
Señorita,0.557435797385688,0.06329903336451513,0.40127737776037115,0.011793411956079712,0.03952033738487967,0.0,0.75,0.7317708333333333,0.8181818181818182,0.8386171687886047,0.7607909844779928,0.0
There's Nothing Holdin' Me Back,0.8295460379722138,0.058206007691508174,0.43159099810200946,0.06547376982513217,0.3834281636290833,0.0,0.75,0.8710937499999998,1.0,0.9012038320937856,0.994684244099511,0.0
Beautiful (feat. Camila Cabello),0.7309702527031328,0.08637355784222016,0.29920766426656226,0.021350142334282236,0.3491181105413399,0.0,0.75,0.57421875,0.18181818181818182,0.8804361527795287,0.22921539442908784,1.0
Never Say Never,0.8233850513928964,0.28385822679555145,0.28125809658662976,0.08540056933712892,0.01822792208630956,0.0,0.75,0.7057291666666665,0.0,0.8696899029370984,0.636402296406549,1.0
Who Says,0.9466047829792478,0.1321068495998337,0.3051848281264122,0.05022366815778772,0.08503161368656273,0.0,0.75,0.6315104166666667,0.36363636363636365,0.9373818227656625,0.7554752285775037,1.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.8172240648135788,0.04396632366697849,0.2742264935377941,0.41642944286295247,0.15839458014182564,4.963954685890834e-06,0.75,0.8398437499999998,0.7272727272727273,0.8979263834614901,0.6204550287050818,0.0
We Don't Talk Anymore (feat. Selena Gomez),0.5728382638339818,0.16328863943457023,0.2991474105986202,0.22529483529890204,0.6266258928686755,0.0,0.75,0.69140625,0.09090909090909091,0.7754632547586033,0.33871996597916226,0.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.8336533623584256,0.17160378339049995,0.28737986924954056,0.1744611630744205,0.07564680504785647,0.0,0.75,0.6497395833333333,0.09090909090909091,0.9075381318542797,0.7958749734212205,1.0
Take You Dancing,0.7248092661238152,0.06828811973807297,0.3772843671858524,0.03619357462383083,0.033465622134101446,0.0,0.75,0.7708333333333333,0.18181818181818182,0.8953737551997984,0.765043589198384,1.0
Savage Love (Laxed - Siren Beat),0.4886381139166418,0.25683400893877983,0.600771246949658,0.11610410736071575,0.23609675919347964,0.0,0.75,0.7421875,0.0,0.7607462498424304,0.7735487986391665,0.0
OK Not To Be OK,0.8541899842894841,0.05446419291133979,0.31755490615491216,0.08479056527043513,0.017319714798692824,0.0,0.75,0.7109375,0.09090909090909091,0.8708874322450524,0.24409951095045718,0.0
Be Kind (with Halsey),0.6447164405926868,0.0334684544226172,0.26286265176392615,0.045750305002033344,0.00779362947080174,0.0,0.75,0.5638020833333333,0.36363636363636365,0.8058741963948066,0.44503508398894326,1.0
Heart Attack,0.8408411800342961,0.07649932439455359,0.293254601873889,0.10126067507116715,0.016512419431922394,0.0,0.75,0.31640624999999994,0.8181818181818182,0.8761187444850626,0.6576653200085052,1.0
Magic,0.869592450737778,0.05508782870803451,0.504052059169102,0.039650264335095574,0.011264999547914593,0.0,0.75,0.5807291666666665,1.0,0.9106580108407918,0.8819902190091431,1.0
End of the Day,0.6046700278271226,0.06392266916120987,0.6225288464435272,0.027043513623424158,0.025796316149782353,0.0,1.0,0.3971354166666666,1.0,0.8706983486701123,0.33553051243886883,1.0
If I Could Fly,0.24630597513015082,0.08096871427086583,0.14874220468171007,0.006100040666937784,0.7880849662227618,0.0,0.75,0.4791666666666666,0.4545454545454546,0.7414597251985379,0.2908781628747608,1.0
I Want to Write You a Song,0.4496185322476306,0.1269098846273776,0.33542614406652,0.004880032533550224,0.7860667278058358,0.0001122554067971164,0.75,0.6731770833333333,0.4545454545454546,0.7885415353586286,0.45672974697001917,1.0
Wolves,0.8346801934549785,0.029622700342999696,0.44037598288795826,0.06872712484749899,0.11500245417791498,0.0,0.75,0.5598958333333333,0.4545454545454546,0.8955313248455818,0.524771422496279,1.0
A.M.,0.5358723443580765,0.07733083879014656,0.5511403006658031,0.0156567710451403,0.22903292473423836,0.0,0.75,0.5065104166666665,0.2727272727272727,0.8746691037438549,0.5024452477142249,1.0
Fireproof,0.8819144238964132,0.10404323874857084,0.49745428252944895,0.014030093533956893,0.004776363037497254,0.0,0.75,0.6302083333333333,0.2727272727272727,0.9260052943400985,0.9436529874548161,1.0
Stockholm Syndrome,0.9527657695585653,0.0669369088452344,0.42299882505347514,0.2374949166327776,0.07403221431431561,0.0,0.75,0.6263020833333333,0.18181818181818182,0.8729673515693939,0.3217095470975973,1.0
Once in a Lifetime,0.3387207738199144,0.07358902400997819,0.5021540686289279,0.009963399755998373,0.6235985352432865,0.0,0.75,0.46484375000000006,0.4545454545454546,0.855508634816589,0.2813098022538805,1.0
Illusion,0.7165946173513917,0.13314624259432492,0.4375440604946826,0.026230174867832447,0.0020315587904777897,0.0,0.75,0.4752604166666667,0.09090909090909091,0.8572734148493635,0.5364660854773549,1.0
Clouds,0.9250413299516362,0.37428541731628734,0.5874431356008798,0.12891419276128507,0.01842974592800217,0.0,0.75,0.25781249999999994,0.0,0.8816651960166395,0.1728683818839039,1.0
Don't Let Me Down,0.8870485793791779,0.11859474067144792,0.6593799897568764,0.3025620170801138,0.15839458014182564,0.005231719876416067,0.75,0.4361979166666667,1.0,0.868712971133241,0.41314054858600896,1.0
Young,0.5738650949305348,0.13106745660534247,0.31715723194649476,0.011996746644977636,0.010558616101990468,0.0,0.75,0.5442708333333333,0.8181818181818182,0.8280600025211144,0.4471613863491389,1.0
Family,0.6180188320823108,0.0822159858642553,0.4063989395354442,0.025213501423342825,0.42984764721838303,0.0,0.75,0.50390625,1.0,0.8210954241774866,0.3621092919413141,1.0
Hope,0.7124872929651801,0.06184388317222743,0.32881631669327865,0.14762098413989427,0.4924130381430914,3.7075180226570545e-06,0.75,0.75,0.09090909090909091,0.8407286020421028,0.5098873059749096,0.0
Inside Out,0.6642262314271925,0.12067352666043034,0.5639381797366914,0.01606344042293615,0.0028792189255867425,1.5345005149330587e-05,0.75,0.4583333333333333,0.6363636363636364,0.8441005924618683,0.11439506697852433,0.0
New York City,0.6508774271720045,0.11547656168797425,0.4560780887536528,0.03009353395689305,0.012778678360609152,0.0,0.75,0.4778645833333332,0.36363636363636365,0.8140678179755453,0.030831384222836496,0.0
Dreaming - The Chainsmokers Remix,0.9989731689034469,0.028583307348508478,0.461970897478384,0.10959739731598211,0.013283237964840672,0.03460350154479917,0.75,0.5611979166666665,0.4545454545454546,0.9114143451405523,0.44609823516904107,0.0
Orphans,0.8244118824894493,0.5561791913522505,0.347085228813304,0.0445302968686458,0.025998139991474958,0.0015345005149330587,0.75,0.39843749999999994,1.0,0.8700680700869785,0.2642993833723155,0.0
Payphone,0.771016665468697,0.36181270138239274,0.35946735757539244,0.032940219601464,0.013686885648225887,0.0,0.75,0.7057291666666665,0.36363636363636365,0.8770956762889198,0.5205188177758877,1.0
"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.7217287728341565,0.06465024425735372,0.3175428554213237,0.049206994713298084,0.033970181738332966,0.0,0.75,0.6080729166666667,0.7272727272727273,0.8983360645405271,0.7533489262173081,1.0
Fight Song,0.727889759413474,0.138343207566781,0.7565149278462326,0.2151281008540057,0.05536350895774938,0.0,0.75,0.4778645833333332,0.6363636363636364,0.8720849615530065,0.31533064001701044,1.0
Cold Water,0.81414357152392,0.13938260056127222,0.25652396589642396,0.04066693777958521,0.07423403815600821,0.0,0.75,0.53515625,0.5454545454545454,0.8687759989915544,0.49712949181373595,0.0
Thunder,0.8387875178411902,0.13002806361085126,0.7087518452685808,0.041886945912972755,0.00673405430191555,0.1380020597322348,0.75,0.53125,0.0,0.8769381066431363,0.2706782904529024,1.0
Grenade,0.5677041083512173,0.0884523438312026,0.3619739101617811,0.06303375355835705,0.14931250726565828,0.0,0.75,0.6601562499999998,0.18181818181818182,0.8000441195008194,0.2249627897086966,0.0
Titanium (feat. Sia),0.8038752605583908,0.10924020372102693,0.45606603802006446,0.16226108174054493,0.06838114674692258,0.15756951596292482,0.75,0.5299479166666665,0.0,0.9134942644648936,0.28449925579417396,0.0
Wonder,0.6488237649788986,0.1321068495998337,0.5394450637182537,0.07096380642537617,0.13215748072178665,1.8537590113285276e-05,0.75,0.17708333333333331,0.09090909090909091,0.8747006176730117,0.10482670635764407,0.0
Love You Like A Love Song,0.6868165155513569,0.05269722482070471,0.40142198656343203,0.0571370475803172,0.06434466991307043,0.0,0.75,0.8580729166666665,0.09090909090909091,0.9097125929660912,0.893684881990219,0.0
Souvenir,0.486584451723536,0.10404323874857084,0.37718193595035093,0.029280195201301353,0.20885054056497757,1.1946446961894956e-05,0.75,0.8385416666666665,0.0,0.8452981217698223,0.4471613863491389,0.0
People You Know,0.6313676363374988,0.09260991580916747,0.6005061308107131,0.05876372509150061,0.08886626667872227,5.5921730175077244e-05,0.75,0.6484374999999998,0.7272727272727273,0.7745493508130594,0.6236444822453753,0.0
Magic,0.9353096409171655,0.257873401933271,0.3236947549182056,0.02887352582350549,0.0050488252237822755,0.0,0.75,0.5247395833333333,1.0,0.9324656498172194,0.43440357218796516,0.0
Boyfriend,0.5204698779097826,0.05727055399646608,0.25099267917934504,0.3045953639690931,0.21793261344114492,0.027394438722966014,0.75,0.7994791666666665,0.18181818181818182,0.8281860582377412,0.3217095470975973,1.0
Sorry,0.7751239898549087,0.2880157987735163,0.29871358418943744,0.04432696217974786,0.08038966532763274,0.0,0.75,0.5950520833333333,0.0,0.9136203201815204,0.40038273442483524,0.0
Symphony (feat. Zara Larsson),0.6159651698892049,0.1736825693794824,0.43736329949085656,0.039853599023993484,0.2411423552357948,1.4521112255406798e-05,0.75,0.6744791666666665,0.0,0.8676414975419137,0.4471613863491389,0.0
Photograph,0.38390134206824317,0.07972144267747636,0.3471816346820113,0.04961366409109395,0.612498223950193,0.00047785787847579817,0.75,0.54296875,0.36363636363636365,0.6989789486953234,0.17818413778439296,1.0
Smile,0.8049020916549436,0.10404323874857084,0.25096857771216824,0.0296868645790972,0.002193017863831876,0.0,0.75,0.5377604166666665,0.09090909090909091,0.8563910248329762,0.5704869232404848,0.0
Paris,0.6703872180065101,0.07483629560336764,0.2989847256951767,0.014640097600650673,0.02165892739508389,1.7095777548918642e-06,0.75,0.59375,0.18181818181818182,0.8266733896382202,0.19732085902615354,1.0
